,actual,forecast
2015-01-02,24.26104164123535,
2015-01-03,24.26104164123535,
2015-01-04,24.26104164123535,
2015-01-05,23.577571868896484,
2015-01-06,23.57979393005371,
2015-01-07,23.91043472290039,
2015-01-08,24.8291244506836,
2015-01-09,24.855758666992188,
2015-01-10,24.855758666992188,
2015-01-11,24.855758666992188,
2015-01-12,24.24329376220703,
2015-01-13,24.458545684814453,
2015-01-14,24.365345001220703,
2015-01-15,23.704057693481445,
2015-01-16,23.519880294799805,
2015-01-17,23.519880294799805,
2015-01-18,23.519880294799805,
2015-01-19,23.519880294799805,
2015-01-20,24.125682830810547,
2015-01-21,24.309864044189453,
2015-01-22,24.94230079650879,
2015-01-23,25.071008682250977,
2015-01-24,25.071008682250977,
2015-01-25,25.071008682250977,
2015-01-26,25.097633361816406,
2015-01-27,24.218883514404297,
2015-01-28,25.58804702758789,
2015-01-29,26.38469696044922,
2015-01-30,25.99857711791992,
2015-01-31,25.99857711791992,
2015-02-01,25.99857711791992,
2015-02-02,26.324779510498047,
2015-02-03,26.329214096069336,
2015-02-04,26.531150817871094,
2015-02-05,26.720516204833984,
2015-02-06,26.495508193969727,
2015-02-07,26.495508193969727,
2015-02-08,26.495508193969727,
2015-02-09,26.671506881713867,
2015-02-10,27.183895111083984,
2015-02-11,27.82106208801269,
2015-02-12,28.17306137084961,
2015-02-13,28.311185836791992,
2015-02-14,28.311185836791992,
2015-02-15,28.311185836791992,
2015-02-16,28.311185836791992,
2015-02-17,28.478271484375,
2015-02-18,28.67654037475586,
2015-02-19,28.61639213562012,
2015-02-20,28.850318908691406,
2015-02-21,28.850318908691406,
2015-02-22,28.850318908691406,
2015-02-23,29.63005256652832,
2015-02-24,29.44514846801757,
2015-02-25,28.6921329498291,
2015-02-26,29.05527305603028,
2015-02-27,28.618621826171875,
2015-02-28,28.618621826171875,
2015-03-01,28.618621826171875,
2015-03-02,28.75897026062012,
2015-03-03,28.819129943847656,
2015-03-04,28.63644027709961,
2015-03-05,28.16192054748535,
2015-03-06,28.204248428344727,
2015-03-07,28.204248428344727,
2015-03-08,28.204248428344727,
2015-03-09,28.32454490661621,
2015-03-10,27.73863220214844,
2015-03-11,27.2329158782959,
2015-03-12,27.725265502929688,
2015-03-13,27.53367805480957,
2015-03-14,27.53367805480957,
2015-03-15,27.53367805480957,
2015-03-16,27.83666038513184,
2015-03-17,28.30227470397949,
2015-03-18,28.620847702026367,
2015-03-19,28.404748916625977,
2015-03-20,28.04829978942871,
2015-03-21,28.04829978942871,
2015-03-22,28.04829978942871,
2015-03-23,28.34014129638672,
2015-03-24,28.22429847717285,
2015-03-25,27.486892700195312,
2015-03-26,27.678485870361328,
2015-03-27,27.45792388916016,
2015-03-28,27.45792388916016,
2015-03-29,27.45792388916016,
2015-03-30,28.15300750732422,
2015-03-31,27.72080993652344,
2015-04-01,27.68071556091309,
2015-04-02,27.919086456298828,
2015-04-03,27.919086456298828,
2015-04-04,27.919086456298828,
2015-04-05,27.919086456298828,
2015-04-06,28.371335983276367,
2015-04-07,28.072803497314453,
2015-04-08,27.981464385986328,
2015-04-09,28.195327758789062,
2015-04-10,28.315643310546875,
2015-04-11,28.315643310546875,
2015-04-12,28.315643310546875,
2015-04-13,28.25994300842285,
2015-04-14,28.13741683959961,
2015-04-15,28.24434280395508,
2015-04-16,28.10845184326172,
2015-04-17,27.792097091674805,
2015-04-18,27.792097091674805,
2015-04-19,27.792097091674805,
2015-04-20,28.42702865600586,
2015-04-21,28.2733097076416,
2015-04-22,28.654266357421875,
2015-04-23,28.88819122314453,
2015-04-24,29.024076461791992,
2015-04-25,29.024076461791992,
2015-04-26,29.024076461791992,
2015-04-27,29.552078247070312,
2015-04-28,29.086463928222656,
2015-04-29,28.658721923828125,
2015-04-30,27.88121032714844,
2015-05-01,28.727783203125,
2015-05-02,28.727783203125,
2015-05-03,28.727783203125,
2015-05-04,28.672094345092773,
2015-05-05,28.02602195739746,
2015-05-06,27.850027084350582,
2015-05-07,28.02228164672852,
2015-05-08,28.55024719238281,
2015-05-09,28.55024719238281,
2015-05-10,28.55024719238281,
2015-05-11,28.259418487548828,
2015-05-12,28.158748626708984,
2015-05-13,28.190065383911133,
2015-05-14,28.84778213500977,
2015-05-15,28.807512283325195,
2015-05-16,28.807512283325195,
2015-05-17,28.807512283325195,
2015-05-18,29.12518882751465,
2015-05-19,29.098344802856445,
2015-05-20,29.096105575561523,
2015-05-21,29.393644332885746,
2015-05-22,29.650917053222656,
2015-05-23,29.650917053222656,
2015-05-24,29.650917053222656,
2015-05-25,29.650917053222656,
2015-05-26,28.99767303466797,
2015-05-27,29.53904914855957,
2015-05-28,29.48089027404785,
2015-05-29,29.14531135559082,
2015-05-30,29.14531135559082,
2015-05-31,29.14531135559082,
2015-06-01,29.20348358154297,
2015-06-02,29.07373237609864,
2015-06-03,29.109527587890625,
2015-06-04,28.93950843811035,
2015-06-05,28.780670166015625,
2015-06-06,28.780670166015625,
2015-06-07,28.780670166015625,
2015-06-08,28.590517044067383,
2015-06-09,28.505504608154297,
2015-06-10,28.83212852478028,
2015-06-11,28.767242431640625,
2015-06-12,28.449583053588867,
2015-06-13,28.449583053588867,
2015-06-14,28.449583053588867,
2015-06-15,28.393644332885746,
2015-06-16,28.545774459838867,
2015-06-17,28.478656768798828,
2015-06-18,28.608407974243164,
2015-06-19,28.32205581665039,
2015-06-20,28.32205581665039,
2015-06-21,28.32205581665039,
2015-06-22,28.54800605773925,
